asset_id,date,name,end_date,ann_date,change_reason,source_id,available_at,decision_time
002748.SZ,20250522,世龙实业,,20250521,撤销ST,tushare,20250521T16:00:00+08:00,20250521T09:00:00+08:00
300145.SZ,20250521,南方泵业,,20250520,改名,tushare,20250520T16:00:00+08:00,20250520T09:00:00+08:00
000683.SZ,20250521,博源化工,,20250521,改名,tushare,20250521T16:00:00+08:00,20250521T09:00:00+08:00
301367.SZ,20250521,瑞迈特,,20250521,改名,tushare,20250521T16:00:00+08:00,20250521T09:00:00+08:00
600234.SH,20250520,科新发展,,20250517,撤销*ST,tushare,20250517T16:00:00+08:00,20250517T09:00:00+08:00
600671.SH,20250520,天目药业,,20250517,撤销ST,tushare,20250517T16:00:00+08:00,20250517T09:00:00+08:00
603363.SH,20250520,傲农生物,,20250517,撤销*ST,tushare,20250517T16:00:00+08:00,20250517T09:00:00+08:00
002092.SZ,20250520,中泰化学,,20250517,撤销ST,tushare,20250517T16:00:00+08:00,20250517T09:00:00+08:00
002259.SZ,20250520,升达林业,,20250519,撤销ST,tushare,20250519T16:00:00+08:00,20250519T09:00:00+08:00
300280.SZ,20250520,*ST紫天,,20250519,*ST,tushare,20250519T16:00:00+08:00,20250519T09:00:00+08:00
300506.SZ,20250520,ST名家汇,,20250519,撤销*ST,tushare,20250519T16:00:00+08:00,20250519T09:00:00+08:00
688021.SH,20250519,奥福科技,,20250514,改名,tushare,20250514T16:00:00+08:00,20250514T09:00:00+08:00
600173.SH,20250515,卧龙新能,,20250510,改名,tushare,20250510T16:00:00+08:00,20250510T09:00:00+08:00
001236.SZ,20250515,苏豪期货,,20250515,其他,tushare,20250515T16:00:00+08:00,20250515T09:00:00+08:00
300209.SZ,20250513,有棵树,,20250512,其他,tushare,20250512T16:00:00+08:00,20250512T09:00:00+08:00
600185.SH,20250508,珠免集团,,20250430,改名,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
000989.SZ,20250507,九芝堂,,20250501,撤销ST,tushare,20250501T16:00:00+08:00,20250501T09:00:00+08:00
300965.SZ,20250506,恒宇信通,,20250430,撤销*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
835305.BJ,20250506,ST云创,,20250430,ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
002124.SZ,20250506,天邦食品,,20250430,撤销ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
002490.SZ,20250506,山东墨龙,,20250430,撤销ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
002289.SZ,20250506,*ST宇顺,,20250430,*ST,tushare,20250430T16:00:00+08:00,20250430T09:00:00+08:00
